Date,Species,10th Percentile,90th Percentile,Minimum,Maximum,Mean,56-'59 AVERAGE,60-'69 AVERAGE,70-'79 AVERAGE,80-'89 AVERAGE,90-'99 AVERAGE,2000-2009 AVERAGE,2010-2020 AVERAGE,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Current Year
16-Jun,Sockeye,2.52,23.81,0.39,56.02,12.30,13.99,20.81,30.70,15.77,8.52,10.83,5.74,14.40,9.66,3.41,5.41,19.56,10.76,22.72,,9.40,21.12,5.92,23.11,7.84,11.90,14.84,6.84,3.86,16.72,,2.27,9.96,23.31,56.02,41.51,30.34,12.90,25.35,16.31,4.00,19.60,2.43,6.49,11.37,16.61,5.56,12.79,0.92,8.69,2.48,5.39,24.02,4.01,10.70,3.74,10.81,37.99,7.29,6.75,5.74,9.00,2.64,5.90,4.98,7.58,  9.89,  8.39,  13.04,  9.89,  3.50,  5.80,  5.85,  5.36,  0.00,  0.39,  0.26,0.39,0.83
17-Jun,Sockeye,3.43,28.75,0.39,68.30,16.05,18.05,24.86,37.71,20.35,10.33,15.24,7.03,17.98,12.89,8.49,9.75,20.47,12.04,27.34,5.23,12.56,23.37,7.46,26.67,17.48,20.23,16.10,8.07,4.78,22.17,25.26,12.17,10.65,27.92,68.30,50.02,48.01,14.43,30.28,20.31,4.42,27.58,2.75,11.54,12.79,19.06,6.50,16.49,2.66,10.49,2.48,7.22,29.58,5.83,11.33,3.74,19.90,55.58,8.05,8.46,5.74,10.76,3.13,14.26,6.69,10.20,  10.47,  10.31,  18.25,  10.47,  5.84,  6.19,  7.93,  6.15,  0.39,  0.39,  0.26,0.39,0.83
18-Jun,Sockeye,4.31,38.35,0.39,79.33,20.25,21.68,29.66,44.05,24.25,13.05,19.47,7.87,21.90,15.82,14.62,11.27,22.91,12.69,30.07,5.83,14.42,30.06,9.86,27.90,32.60,34.52,17.95,10.36,8.54,31.70,40.79,17.52,11.26,34.01,79.33,57.39,55.93,14.43,39.35,24.36,4.74,37.34,3.04,14.92,14.30,21.82,8.62,22.03,3.13,12.51,2.79,9.42,32.78,6.12,20.60,5.57,34.33,68.59,8.05,10.38,6.84,14.11,3.89,17.85,7.74,13.24,  12.00,  11.07,  21.30,  12.00,  7.92,  6.19,  7.93,  6.41,  0.39,  0.39,  0.26,0.39,1.22
19-Jun,Sockeye,5.71,49.06,0.78,91.50,24.52,28.04,33.04,49.40,28.96,16.47,23.98,9.69,24.26,22.64,28.03,14.14,23.55,13.32,31.01,7.08,16.26,30.98,10.47,31.04,48.69,42.22,18.89,11.83,16.89,35.96,56.62,21.73,11.68,35.42,86.84,66.51,60.62,15.86,49.42,31.99,7.91,45.52,4.00,18.04,17.70,26.17,12.03,27.64,4.52,17.49,5.57,10.70,38.27,8.45,27.29,5.86,40.73,91.50,9.01,12.68,7.58,15.07,4.63,20.82,12.93,15.24,  13.03,  13.35,  22.86,  13.03,  12.60,  9.61,  13.43,  6.93,  0.39,  0.39,  0.26,0.78,1.22
20-Jun,Sockeye,8.11,59.09,0.78,105.91,29.16,32.42,37.10,55.45,33.16,20.56,29.74,11.18,27.94,27.57,34.70,16.37,25.70,15.82,31.01,7.71,18.93,33.45,11.82,37.27,60.52,52.94,21.64,12.76,25.64,44.63,76.11,24.16,12.09,38.68,92.43,74.80,69.67,22.97,55.36,37.05,10.38,46.92,4.61,20.40,20.82,31.14,14.88,30.44,6.69,24.28,8.73,13.24,45.57,11.60,34.78,8.51,57.65,105.91,15.07,17.71,10.10,16.57,6.37,27.04,14.05,17.27,  14.82,  17.04,  26.31,  14.82,  15.51,  11.17,  13.82,  7.72,  0.39,  0.39,  0.26,0.78,2.01
21-Jun,Sockeye,9.85,72.40,1.17,123.79,33.90,38.72,41.89,59.33,37.75,25.36,35.56,12.65,30.06,34.22,50.69,16.81,26.02,16.71,32.25,9.97,25.05,38.41,14.19,42.85,77.99,59.69,22.56,14.33,34.21,47.79,82.51,29.22,12.09,42.43,96.21,80.37,78.46,28.58,65.40,39.75,11.62,51.15,5.54,23.51,25.41,35.81,15.82,32.87,8.89,28.75,12.65,17.88,56.49,20.63,42.94,9.72,66.81,123.79,18.51,25.50,11.94,23.81,7.52,34.91,15.19,17.99,  16.10,  21.06,  28.54,  16.10,  17.06,  11.68,  18.12,  8.77,  0.39,  0.39,  0.26,1.17,2.80
22-Jun,Sockeye,11.73,89.21,1.17,132.00,39.43,44.08,47.93,64.16,43.97,29.49,42.91,14.42,32.94,38.05,64.94,17.27,26.02,17.32,34.14,13.74,36.94,45.56,19.29,44.38,100.31,65.79,26.89,14.65,37.00,54.51,90.27,32.78,13.33,46.99,107.56,86.03,88.16,36.94,91.61,43.72,12.24,54.03,6.02,26.96,28.84,38.88,15.82,35.60,10.74,31.43,16.35,25.70,67.91,21.97,51.25,11.23,91.06,132.00,26.67,33.07,21.03,30.25,10.36,40.06,15.19,19.74,  16.10,  24.88,  32.78,  16.10,  19.42,  12.71,  24.37,  9.79,  1.15,  0.39,  0.26,1.17,5.14
23-Jun,Sockeye,14.98,101.52,1.43,151.23,45.84,50.74,55.17,70.48,49.42,34.88,51.31,18.52,33.94,43.14,80.93,21.87,27.61,22.29,43.71,18.90,44.73,51.53,21.17,45.30,128.43,72.24,27.18,15.12,41.90,60.66,107.28,34.75,15.62,54.99,120.92,94.77,100.74,43.67,102.31,47.41,13.43,65.80,6.02,28.98,30.07,43.41,18.15,37.48,13.16,33.22,17.29,34.12,82.24,34.82,56.24,15.19,113.61,151.23,31.21,38.38,33.77,37.13,14.84,43.03,18.95,21.25,  18.76,  31.73,  43.64,  18.76,  25.32,  15.05,  35.39,  11.38,  1.41,  0.91,  0.65,1.43,9.25
24-Jun,Sockeye,18.34,114.91,1.43,156.43,52.61,56.18,59.83,74.89,57.90,42.85,60.37,20.87,39.76,44.91,93.56,23.39,28.24,25.99,50.90,21.14,47.59,59.94,31.55,47.57,134.84,74.73,28.72,16.03,51.87,61.94,114.38,34.75,16.85,60.53,125.16,107.04,108.19,56.37,118.31,50.70,15.25,89.86,9.65,31.75,38.58,48.00,19.87,39.31,22.99,36.56,19.96,42.90,115.45,41.65,63.71,19.19,150.59,156.43,46.94,51.15,36.47,40.49,17.50,50.54,21.18,22.72,  19.35,  35.43,  43.64,  19.35,  27.93,  17.34,  49.12,  12.42,  1.67,  1.17,  1.42,1.43,21.31
25-Jun,Sockeye,21.77,125.86,1.43,191.32,59.63,64.25,64.50,79.48,67.50,48.55,71.06,24.22,45.16,49.73,112.59,26.44,29.67,28.23,55.54,24.58,55.15,66.55,41.96,55.78,136.73,75.04,35.81,16.03,57.56,64.08,126.17,36.59,21.80,63.86,129.22,112.08,118.59,66.71,145.54,56.75,17.62,111.46,14.11,38.32,42.84,50.78,21.74,40.59,29.57,42.83,23.65,55.85,125.55,44.99,70.96,22.82,191.32,174.97,59.59,59.45,43.50,45.08,20.15,56.48,23.88,26.48,  20.10,  42.17,  45.83,  20.10,  38.08,  18.50,  59.55,  -,  2.71,  1.43,  1.42,1.43,29.31
