Stream,Reach,Site,Year,Size,Length Break (mm),Marked Pass 1,Caught Pass 2,Recaptured Pass 2,Capture Efficiency,Site Pop Estimate,Site Variance,Site SE,Site CI Low,Site CI High,Sample Site Length (m),Fish per Meter,Reach Length (m),Reach Expansion Factor,Reach Pop Estimate,Reach Variance,Reach CI 95%,Reach CI High,Reach CI Low,Precision,Stream Pop Estimate,Stream Variance,Stream CI 95%,Stream CI High,Stream CI Low
Tunk Creek,Tunk 16-1,OBMEP-1204,2018,long,105,10,8,6,0.6,13,2.02,1.421,10.357,15.929,120,0.11,998,8.317,109,139.745,23.17,132.475,86.135,0.108,109,139.745,23.17,132.475,86.135
Tunk Creek,Tunk 16-1,OBMEP-1204,2018,short,105,91,75,44,0.484,154,109.365,10.458,133.881,174.875,120,1.286,998,8.317,1284,7564.439,170.469,1454.377,1113.44,0.068,1284,7564.439,170.469,1454.377,1113.44
Tunk Creek,Tunk 16-1,OBMEP-1204,2019,long,105,11,9,7,0.636,14,1.667,1.291,11.47,16.53,174,0.08,998,5.736,80,54.829,14.513,94.812,65.786,0.092,80,54.829,14.513,94.812,65.786
Tunk Creek,Tunk 16-1,OBMEP-1204,2019,short,105,277,290,150,0.542,535,415.023,20.372,494.819,574.678,174,3.073,998,5.736,3067,13653.206,229.02,3296.14,2838.1,0.038,3067,13653.206,229.02,3296.14,2838.1
Tunk Creek,Tunk 16-1,OBMEP-1204,2020,long,95,30,31,20,0.667,46,11.247,3.354,39.665,52.811,145,0.319,998,6.883,318,532.805,45.242,363.487,273.004,0.073,318,532.805,45.242,363.487,273.004
Tunk Creek,Tunk 16-1,OBMEP-1204,2020,short,95,215,215,118,0.549,391,258.331,16.073,359.565,422.57,145,2.697,998,6.883,2692,12237.73,216.824,2908.445,2474.798,0.041,2692,12237.73,216.824,2908.445,2474.798
Tunk Creek,Tunk 16-1,OBMEP-1204,2021,long,95,7,5,3,0.429,11,4.8,2.191,6.706,15.294,179,0.061,998,5.575,61,149.209,23.942,85.271,37.388,0.199,61,149.209,23.942,85.271,37.388
Tunk Creek,Tunk 16-1,OBMEP-1204,2021,short,95,1,0,0,0,1,0,0,1,1,179,0.006,998,5.575,6,0,0,5.575,5.575,0,6,0,0,5.575,5.575
Wanacut Creek,Wanacut 16-3,OBMEP-357,2017,short,95,75,88,28,0.373,232,756.024,27.496,178.349,286.133,100,2.322,1448,14.48,3363,158515.809,780.355,4143.21,2582.5,0.118,3363,158515.809,780.355,4143.21,2582.5
Wanacut Creek,Wanacut 16-3,OBMEP-357,2017,long,95,88,103,62,0.705,146,38.844,6.232,133.705,158.136,100,1.459,1448,14.48,2113,8144.353,176.882,2289.813,1936.048,0.043,2113,8144.353,176.882,2289.813,1936.048
Wanacut Creek,Wanacut 16-3,OBMEP-357,2018,long,105,155,143,119,0.768,186,11.139,3.338,179.658,192.742,153,1.217,1448,9.464,1762,997.717,61.91,1824.116,1700.297,0.018,1762,997.717,61.91,1824.116,1700.297
Wanacut Creek,Wanacut 16-3,OBMEP-357,2018,short,105,121,99,49,0.405,243,344.471,18.56,206.623,279.377,153,1.588,1448,9.464,2300,30853.64,344.278,2644.043,1955.487,0.076,2300,30853.64,344.278,2644.043,1955.487
Wanacut Creek,Wanacut 16-3,OBMEP-357,2019,short,85,84,67,28,0.333,198,500.338,22.368,154.469,242.152,154,1.288,1448,9.403,1865,44234.274,412.226,2276.858,1452.406,0.113,1865,44234.274,412.226,2276.858,1452.406
Wanacut Creek,Wanacut 16-3,OBMEP-357,2019,long,85,100,87,71,0.71,122,10.898,3.301,115.974,128.915,154,0.795,1448,9.403,1151,963.451,60.837,1212.133,1090.458,0.027,1151,963.451,60.837,1212.133,1090.458
Wanacut Creek,Wanacut 16-3,OBMEP-357,2020,long,100,50,48,37,0.74,65,6.346,2.519,59.826,69.7,154,0.421,1448,9.403,609,561.004,46.424,655.366,562.518,0.039,609,561.004,46.424,655.366,562.518
Wanacut Creek,Wanacut 16-3,OBMEP-357,2020,short,100,109,104,56,0.514,202,155.927,12.487,177.157,226.106,154,1.309,1448,9.403,1896,13785.327,230.125,2125.986,1665.735,0.062,1896,13785.327,230.125,2125.986,1665.735
Wanacut Creek,Wanacut 16-3,OBMEP-357,2021,short,100,0,0,0,0,0,0,0,0,0,154,0,1448,9.403,0,0,0,0,0,0,0,0,0,0,0
Wanacut Creek,Wanacut 16-3,OBMEP-357,2021,long,100,54,61,47,0.87,70,2.96,1.72,66.67,73.414,154,0.455,1448,9.403,659,261.696,31.707,690.281,626.867,0.025,659,261.696,31.707,690.281,626.867
