pse_region,species,cu_id,stream_id,cu_name,stream_name,year,run,escapement_estimate,method,data_source,data_source_link
central coast,SH,683,9853,Transition Summer,BELLA COOLA RIVER,1997,summer,200,snorkel,"English et al. 1999 ""Assessment of the Distribution, Timing, and Abundance of Adult Steelhead Returns to the Bella Coola River Watershed in 1997 and 1998""",
central coast,SH,683,9853,Transition Summer,BELLA COOLA RIVER,1998,summer,220,snorkel,"English et al. 1999 ""Assessment of the Distribution, Timing, and Abundance of Adult Steelhead Returns to the Bella Coola River Watershed in 1997 and 1998""",
