SpeciesId	StatArea.CU	CU_Name	Year	T_Idx_E	ExpFactor1	AdjSum	ExpFactor2	ObsE	ExpFactor3	TE	CDN.Harvest	CDN.ER	TRTC	Total.Harvest	Total.ER	Total.Run	Q1	Q2	Q3
SH	1380	Mid Columbia Summer	1991																
SH	1380	Mid Columbia Summer	1992																
SH	1380	Mid Columbia Summer	1993																
SH	1380	Mid Columbia Summer	1994																
SH	1380	Mid Columbia Summer	1995																
SH	1380	Mid Columbia Summer	1996																
SH	1380	Mid Columbia Summer	1997																
SH	1380	Mid Columbia Summer	1998																
SH	1380	Mid Columbia Summer	1999																
SH	1380	Mid Columbia Summer	2000																
SH	1380	Mid Columbia Summer	2001																
SH	1380	Mid Columbia Summer	2002																
SH	1380	Mid Columbia Summer	2003																
SH	1380	Mid Columbia Summer	2004																
SH	1380	Mid Columbia Summer	2005																
SH	1380	Mid Columbia Summer	2006							99									
SH	1380	Mid Columbia Summer	2007							92									
SH	1380	Mid Columbia Summer	2008							78									
SH	1380	Mid Columbia Summer	2009							384									
SH	1380	Mid Columbia Summer	2010							265									
SH	1380	Mid Columbia Summer	2011							136									
SH	1380	Mid Columbia Summer	2012							115									
SH	1380	Mid Columbia Summer	2013							2									
SH	1380	Mid Columbia Summer	2014							16									
SH	1380	Mid Columbia Summer	2015							26									
SH	1380	Mid Columbia Summer	2016							15									
SH	1380	Mid Columbia Summer	2017							10									
SH	1380	Mid Columbia Summer	2018							0									
SH	1380	Mid Columbia Summer	2019							23									
SH	1380	Mid Columbia Summer	2020							5									
SH	1380	Mid Columbia Summer	2021							9									
SH	281	Upper Sustut	1950																
SH	281	Upper Sustut	1951																
SH	281	Upper Sustut	1952																
SH	281	Upper Sustut	1953																
SH	281	Upper Sustut	1954																
SH	281	Upper Sustut	1955																
SH	281	Upper Sustut	1956																
SH	281	Upper Sustut	1957																
SH	281	Upper Sustut	1958																
SH	281	Upper Sustut	1959																
SH	281	Upper Sustut	1960																
SH	281	Upper Sustut	1961																
SH	281	Upper Sustut	1962																
SH	281	Upper Sustut	1963																
SH	281	Upper Sustut	1964																
SH	281	Upper Sustut	1965																
SH	281	Upper Sustut	1966																
SH	281	Upper Sustut	1967																
SH	281	Upper Sustut	1968																
SH	281	Upper Sustut	1969																
SH	281	Upper Sustut	1970																
SH	281	Upper Sustut	1971																
SH	281	Upper Sustut	1972																
SH	281	Upper Sustut	1973																
SH	281	Upper Sustut	1974																
SH	281	Upper Sustut	1975																
SH	281	Upper Sustut	1976																
SH	281	Upper Sustut	1977																
SH	281	Upper Sustut	1978																
SH	281	Upper Sustut	1979																
SH	281	Upper Sustut	1980																
SH	281	Upper Sustut	1981																
SH	281	Upper Sustut	1982																
SH	281	Upper Sustut	1983																
SH	281	Upper Sustut	1984																
SH	281	Upper Sustut	1985																
SH	281	Upper Sustut	1986																
SH	281	Upper Sustut	1987																
SH	281	Upper Sustut	1988																
SH	281	Upper Sustut	1989																
SH	281	Upper Sustut	1990																
SH	281	Upper Sustut	1991																
SH	281	Upper Sustut	1992																
SH	281	Upper Sustut	1993																
SH	281	Upper Sustut	1994							584									
SH	281	Upper Sustut	1995							467									
SH	281	Upper Sustut	1996							466									
