SpeciesId	StatArea.CU	CU_Name	BroodYear	Escape	TR2	TR3	TR4	TR5	TR6	TR7	Total	Total.ER	Age2	Age3	Age4	Age5	Age6	Age7
SH	781	Thompson Summer	2001	1810	NA	NA	NA	NA	NA	NA	1627	NA	NA	NA	NA	NA	NA	NA
SH	781	Thompson Summer	2002	3160	NA	NA	NA	NA	NA	NA	944	NA	NA	NA	NA	NA	NA	NA
SH	781	Thompson Summer	2003	1480	NA	NA	NA	NA	NA	NA	1247	NA	NA	NA	NA	NA	NA	NA
SH	781	Thompson Summer	2004	950	NA	NA	NA	NA	NA	NA	825	NA	NA	NA	NA	NA	NA	NA
SH	781	Thompson Summer	2005	2440	NA	NA	NA	NA	NA	NA	526	NA	NA	NA	NA	NA	NA	NA
SH	781	Thompson Summer	2006	1660	NA	NA	NA	NA	NA	NA	725	NA	NA	NA	NA	NA	NA	NA
SH	781	Thompson Summer	2007	740	NA	NA	NA	NA	NA	NA	1510	NA	NA	NA	NA	NA	NA	NA
SH	781	Thompson Summer	2008	1160	NA	NA	NA	NA	NA	NA	1141	NA	NA	NA	NA	NA	NA	NA
SH	781	Thompson Summer	2009	690	NA	NA	NA	NA	NA	NA	1732	NA	NA	NA	NA	NA	NA	NA
SH	781	Thompson Summer	2010	590	NA	NA	NA	NA	NA	NA	971	NA	NA	NA	NA	NA	NA	NA
SH	781	Thompson Summer	2011	520	NA	NA	NA	NA	NA	NA	376	NA	NA	NA	NA	NA	NA	NA
SH	781	Thompson Summer	2012	1000	NA	NA	NA	NA	NA	NA	318	NA	NA	NA	NA	NA	NA	NA
SH	781	Thompson Summer	2013	1090	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	781	Thompson Summer	2014	1300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	781	Thompson Summer	2015	850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	781	Thompson Summer	2016	360	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	781	Thompson Summer	2017	260	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	781	Thompson Summer	2018	150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	781	Thompson Summer	2019	240	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	781	Thompson Summer	2020	257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1950	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1953	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1955	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1956	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH	780	Mid Fraser Summer	1957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
