cuid,use,cuname,gen_length,sr_code,trtc_cu,nuseds_cu,cuindex,culabel,CU,spp,species,watershed,X
301,ABUND,Okanagan,5,NA,CK-001,CK-001,NA,Okanagan,Okanagan,CK,CK,NA,NA
1300,ABUND,Osoyoos,4,NA,SEL-01-001,SEL-01-001,NA,Osoyoos,Osoyoos,SEL,SEL,NA,NA
