SpeciesId	StatArea.CU	CU_Name	Year	T_Idx_E	ExpFactor1	AdjSum	ExpFactor2	ObsE	ExpFactor3	TE	CDN.Harvest	CDN.ER	TRTC	Total.Harvest	Total.ER	Total.Run	Q1	Q2	Q3
CK	CK-001	Okanagan	1990	NA	NA	NA	NA	NA	NA	NA	NA	0.34	NA	NA	0.82	NA	NA	NA	NA
CK	CK-001	Okanagan	1991	NA	NA	NA	NA	NA	NA	NA	NA	0.26	NA	NA	0.62	NA	NA	NA	NA
CK	CK-001	Okanagan	1992	NA	NA	NA	NA	NA	NA	NA	NA	0.29	NA	NA	0.66	NA	NA	NA	NA
CK	CK-001	Okanagan	1993	NA	NA	NA	NA	NA	NA	NA	NA	0.35	NA	NA	0.76	NA	NA	NA	NA
CK	CK-001	Okanagan	1994	NA	NA	NA	NA	NA	NA	NA	NA	0.24	NA	NA	0.69	NA	NA	NA	NA
CK	CK-001	Okanagan	1995	NA	NA	NA	NA	NA	NA	NA	NA	0.16	NA	NA	0.51	NA	NA	NA	NA
CK	CK-001	Okanagan	1996	NA	NA	NA	NA	NA	NA	NA	NA	0.07	NA	NA	0.51	NA	NA	NA	NA
CK	CK-001	Okanagan	1997	NA	NA	NA	NA	NA	NA	NA	NA	0.07	NA	NA	0.56	NA	NA	NA	NA
CK	CK-001	Okanagan	1998	NA	NA	NA	NA	NA	NA	NA	NA	0.05	NA	NA	0.45	NA	NA	NA	NA
CK	CK-001	Okanagan	1999	NA	NA	NA	NA	NA	NA	NA	NA	0.14	NA	NA	0.63	NA	NA	NA	NA
CK	CK-001	Okanagan	2000	NA	NA	NA	NA	NA	NA	NA	NA	0.16	NA	NA	0.71	NA	NA	NA	NA
CK	CK-001	Okanagan	2001	NA	NA	NA	NA	NA	NA	NA	NA	0.21	NA	NA	0.76	NA	NA	NA	NA
CK	CK-001	Okanagan	2002	NA	NA	NA	NA	NA	NA	NA	NA	0.34	NA	NA	0.84	NA	NA	NA	NA
CK	CK-001	Okanagan	2003	NA	NA	NA	NA	NA	NA	NA	NA	0.27	NA	NA	0.83	NA	NA	NA	NA
CK	CK-001	Okanagan	2004	NA	NA	NA	NA	NA	NA	NA	NA	0.22	NA	NA	0.82	NA	NA	NA	NA
CK	CK-001	Okanagan	2005	NA	NA	NA	NA	NA	NA	NA	NA	0.29	NA	NA	0.77	NA	NA	NA	NA
CK	CK-001	Okanagan	2006	NA	NA	NA	NA	NA	NA	34	NA	0.21	NA	NA	0.76	NA	NA	NA	NA
CK	CK-001	Okanagan	2007	NA	NA	NA	NA	NA	NA	7	NA	0.16	NA	NA	0.81	NA	NA	NA	NA
CK	CK-001	Okanagan	2008	NA	NA	NA	NA	NA	NA	14	NA	0.16	NA	NA	0.72	NA	NA	NA	NA
CK	CK-001	Okanagan	2009	NA	NA	NA	NA	NA	NA	6	NA	0.2	NA	NA	0.75	NA	NA	NA	NA
CK	CK-001	Okanagan	2010	NA	NA	NA	NA	NA	NA	5	NA	0.14	NA	NA	0.72	NA	NA	NA	NA
CK	CK-001	Okanagan	2011	NA	NA	NA	NA	NA	NA	21	NA	0.11	NA	NA	0.75	NA	NA	NA	NA
CK	CK-001	Okanagan	2012	NA	NA	NA	NA	NA	NA	11	NA	0.14	NA	NA	0.76	NA	NA	NA	NA
CK	CK-001	Okanagan	2013	NA	NA	NA	NA	NA	NA	40	NA	0.09	NA	NA	0.68	NA	NA	NA	NA
CK	CK-001	Okanagan	2014	NA	NA	NA	NA	NA	NA	50	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-001	Okanagan	2015	NA	NA	NA	NA	NA	NA	61	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-001	Okanagan	2016	NA	NA	NA	NA	NA	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-001	Okanagan	2017	NA	NA	NA	NA	NA	NA	54	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-001	Okanagan	2018	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1950	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1953	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1955	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1956	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1958	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1960	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1961	NA	NA	NA	NA	NA	NA	3173	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1962	NA	NA	NA	NA	NA	NA	5431	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEL	SEL-01-001	Osoyoos	1963	NA	NA	NA	NA	NA	NA	26238	NA	NA	NA	NA	NA	NA	NA	NA	NA
