"","Year","fpu","adj.fpu","geo.fpu","geo.adj.fpu"
"1","1998",20.9625,45.2,16.7385868951827,31.8124134492325
"2","1999",32.5888888888889,54.3,26.2903553875307,42.9607072210623
"3","2000",11.5555555555556,23.9555555555556,7.60526298145508,13.7352532964791
"4","2001",13.4111111111111,25.6555555555556,10.8111862197601,20.009461950127
"5","2002",16.7222222222222,25.9444444444444,12.3932299803353,20.7110755430348
"6","2003",10.7,17.3888888888889,9.37603669617351,15.0688234167355
"7","2004",10.4,20.5888888888889,7.22209705837537,11.9900796069693
"8","2005",12.1666666666667,18.0777777777778,10.3116623206824,14.9757086302276
"9","2006",22.7333333333333,47.0888888888889,17.711806480789,32.9923765094643
"10","2008",10.1666666666667,20.5333333333333,6.80506264037508,12.2373822622113
"11","2011",21.325,45.1125,14.7949570611808,25.605473748366
"12","2012",17.4625,28.375,13.8483313316844,22.1951712446069
"13","2013",23.8375,39.675,22.7731499867268,36.5360387355485
"14","2014",15.9125,25.2,8.85912657247091,13.0043084924818
"15","2015",17.5125,29.9,13.8579422984419,24.3239849586647
"16","2016",17.4375,30.1625,16.7378999814013,27.2712791134208
"17","2017",16.9375,25.85,14.0939318419302,22.3831658636936
"18","2018",15.9857142857143,25.4,14.4794339790602,21.9872339518483
"19","2019",11.8428571428571,17.2571428571429,8.60739183491416,12.0380075449869
"20","2020",16.7,30.3875,12.1138437270883,21.4179040237509
