"","System","Year","Site","Species.Age","W.mean","Site Description","Site Reference (km)","Easting","Northing","Area","Date","fpu","percent.usable.area","adj.fpu"
"308","Englishman","2017","8","CO.0",3.8,"Englishman River Road",9.84,404214,5458815,83.7,2017-09-22,1.2,0.681,1.8
"309","Englishman","2017","8","PL",NA,"Englishman River Road",9.84,404214,5458815,83.7,2017-09-22,1.2,NA,NA
"310","Englishman","2017","8","RB.0",2.2,"Englishman River Road",9.84,404214,5458815,83.7,2017-09-22,12.7,0.906,14
"311","Englishman","2017","8","RB.1",7.9,"Englishman River Road",9.84,404214,5458815,83.7,2017-09-22,1.2,0.41,2.9
"312","Englishman","2017","8","RB.2",31.8,"Englishman River Road",9.84,404214,5458815,83.7,2017-09-22,5.4,NA,NA
"313","Englishman","2017","9","RB.0",1.5,"Steelhead Place",13.14,402968,5457872,89.2,2017-09-20,22.1,0.561,39.4
"314","Englishman","2017","10","CO.0",2.9,"Falls Site",14.83,401996,5456485,111.8,2017-09-20,2.7,0.463,5.8
"315","Englishman","2017","10","RB.0",2,"Falls Site",14.83,401996,5456485,111.8,2017-09-20,34.9,0.65,53.7
"316","Englishman","2017","10","RB.1",11.9,"Falls Site",14.83,401996,5456485,111.8,2017-09-20,0.9,0.244,3.7
"317","Englishman","2018","1","PL",NA,"Hwy 19A bridge",1.26,406669,5463666,68.4,2018-08-22,2.9,NA,NA
"318","Englishman","2018","2","RB.0",2.8,"Martindale Road",2.11,407176,5461951,75.9,2018-08-21,5.9,0.869,6.8
"319","Englishman","2018","4","RB.0",3.3,"Grassy Bank",5.57,406923,5460354,61.8,2018-08-24,11.3,0.721,15.7
"320","Englishman","2018","5","CO.0",3.1,"Powerlines",6.85,406608,5460077,83.9,2018-08-24,1.2,0.599,2
"321","Englishman","2018","5","PL",NA,"Powerlines",6.85,406608,5460077,83.9,2018-08-24,1.2,NA,NA
"322","Englishman","2018","5","RB.0",2.3,"Powerlines",6.85,406608,5460077,83.9,2018-08-24,14.9,0.798,18.7
"323","Englishman","2018","5","RB.1",11.2,"Powerlines",6.85,406608,5460077,83.9,2018-08-24,2.4,0.236,10.2
"324","Englishman","2018","7","RB.0",1.7,"Side Channel Intake",8.72,404713,5459345,73.4,2018-08-24,27.6,0.866,31.9
"325","Englishman","2018","7","RB.1",9,"Side Channel Intake",8.72,404713,5459345,73.4,2018-08-24,1.4,0.229,6.1
"326","Englishman","2018","8","CO.0",2.6,"Englishman River Road",9.84,404214,5458815,62.9,2018-08-28,1.6,0.301,5.3
"327","Englishman","2018","8","RB.0",2.3,"Englishman River Road",9.84,404214,5458815,62.9,2018-08-28,13.2,0.453,29.1
"328","Englishman","2018","9","PL",NA,"Steelhead Place",13.14,402968,5457872,72.8,2018-09-17,1.4,NA,NA
"329","Englishman","2018","9","RB.0",1.7,"Steelhead Place",13.14,402968,5457872,72.8,2018-09-17,22.9,0.485,47.2
"330","Englishman","2018","10","RB.0",2.2,"Falls Site",14.83,401996,5456485,87.1,2018-08-28,16.1,0.567,28.4
"331","Englishman","2019","2","CO.0",2.5,"Martindale Road",2.11,407176,5461951,70,2019-09-03,1.4,0.476,2.9
"332","Englishman","2019","2","RB.0",2.8,"Martindale Road",2.11,407176,5461951,70,2019-09-03,11.4,0.816,14
"333","Englishman","2019","4","CO.0",4.7,"Grassy Bank",5.57,406923,5460354,78.4,2019-09-06,1.3,0.582,2.2
"334","Englishman","2019","4","RB.0",4.2,"Grassy Bank",5.57,406923,5460354,78.4,2019-09-06,2.6,0.947,2.7
"335","Englishman","2019","5","CO.0",3.1,"Powerlines",6.85,406608,5460077,104,2019-09-06,13.8,0.525,26.3
"336","Englishman","2019","5","RB.0",1.2,"Powerlines",6.85,406608,5460077,104,2019-09-06,15.4,0.747,20.6
"337","Englishman","2019","5","RB.1",10.8,"Powerlines",6.85,406608,5460077,104,2019-09-06,2.9,0.095,30.5
"338","Englishman","2019","7","CO.0",3,"Side Channel Intake",8.72,404713,5459345,57.3,2019-09-05,NA,0.439,NA
"339","Englishman","2019","7","RB.0",3.2,"Side Channel Intake",8.72,404713,5459345,57.3,2019-09-05,7,0.846,8.3
"340","Englishman","2019","7","RB.1",11.7,"Side Channel Intake",8.72,404713,5459345,57.3,2019-09-05,27.9,0.424,65.8
"341","Englishman","2019","8","CO.0",2.2,"Englishman River Road",9.84,404214,5458815,65.2,2019-09-05,4.6,0.261,17.6
"342","Englishman","2019","8","RB.0",3.9,"Englishman River Road",9.84,404214,5458815,65.2,2019-09-05,7.7,0.548,14.1
"343","Englishman","2019","9","PL",NA,"Steelhead Place",13.14,402968,5457872,97.5,2019-09-04,1,NA,NA
"344","Englishman","2019","9","RB.0",4,"Steelhead Place",13.14,402968,5457872,97.5,2019-09-04,4.1,0.549,7.5
"345","Englishman","2019","10","CO.0",3.4,"Falls Site",14.83,401996,5456485,74.3,2019-09-04,1.3,0.75,1.7
"346","Englishman","2019","10","RB.0",2.2,"Falls Site",14.83,401996,5456485,74.3,2019-09-04,34.7,0.647,53.6
"347","Englishman","2019","10","RB.1",11.4,"Falls Site",14.83,401996,5456485,74.3,2019-09-04,1.3,0.335,3.9
"348","Englishman","2020","1","RB.0",2.7,"Hwy 19A bridge",1.26,406669,5463666,87.8,2020-08-25,5.1,0.422,12.1
"349","Englishman","2020","1","SC",NA,"Hwy 19A bridge",1.26,406669,5463666,87.8,2020-08-25,-223.2,NA,NA
"350","Englishman","2020","2","CO.0",4.4,"Martindale Road",2.11,407176,5461951,62.3,2020-08-25,NA,0.126,NA
"351","Englishman","2020","2","PL",NA,"Martindale Road",2.11,407176,5461951,62.3,2020-08-25,NA,NA,NA
"352","Englishman","2020","2","RB.0",2.9,"Martindale Road",2.11,407176,5461951,62.3,2020-08-25,14.4,0.361,39.9
"353","Englishman","2020","2","SC",NA,"Martindale Road",2.11,407176,5461951,62.3,2020-08-25,17.8,NA,NA
"354","Englishman","2020","4","CO.0",1.8,"Grassy Bank",5.57,406923,5460354,87.3,2020-08-27,22.1,0.734,30.1
"355","Englishman","2020","4","RB.0",2.3,"Grassy Bank",5.57,406923,5460354,87.3,2020-08-27,27.7,0.825,33.6
"356","Englishman","2020","4","SC",NA,"Grassy Bank",5.57,406923,5460354,87.3,2020-08-27,10.3,NA,NA
"357","Englishman","2020","5","CC",4.5,"Powerlines",6.85,406608,5460077,77.9,2020-08-27,37.7,NA,NA
"358","Englishman","2020","5","CO.0",3.6,"Powerlines",6.85,406608,5460077,77.9,2020-08-27,20.8,0.445,46.7
"359","Englishman","2020","5","RB.0",1.8,"Powerlines",6.85,406608,5460077,77.9,2020-08-27,15.7,0.881,17.8
"360","Englishman","2020","5","SC",NA,"Powerlines",6.85,406608,5460077,77.9,2020-08-27,39.5,NA,NA
"361","Englishman","2020","7","CC",5.5,"Side Channel Intake",8.72,404713,5459345,96,2020-08-27,-14.9,NA,NA
"362","Englishman","2020","7","CO.0",3.7,"Side Channel Intake",8.72,404713,5459345,96,2020-08-27,8.7,0.49,17.8
"363","Englishman","2020","7","RB.0",2.4,"Side Channel Intake",8.72,404713,5459345,96,2020-08-27,20.8,0.804,25.9
"364","Englishman","2020","7","RB.1",150,"Side Channel Intake",8.72,404713,5459345,96,2020-08-27,1,0.309,3.2
"365","Englishman","2020","8","CO.0",3.2,"Englishman River Road",9.84,404214,5458815,81.2,2020-08-27,1.2,0.758,1.6
"366","Englishman","2020","8","RB.0",2.8,"Englishman River Road",9.84,404214,5458815,81.2,2020-08-27,1.2,0.621,1.9
"367","Englishman","2020","9","RB.0",1.3,"Steelhead Place",13.14,402968,5457872,73.2,2020-08-26,27.7,0.464,59.7
"368","Englishman","2020","10","CC",8.4,"Falls Site",14.83,401996,5456485,80.5,2020-08-26,10.1,NA,NA
"369","Englishman","2020","10","RB.0",1.8,"Falls Site",14.83,401996,5456485,80.5,2020-08-26,21,0.402,52.2
"370","Englishman","2020","10","RB.1",23.4,"Falls Site",14.83,401996,5456485,80.5,2020-08-26,1.2,0.683,1.8
