OBJECTID,stream_name,parkinson2005cu,run_timing_full,COL_H,latitude,longitude,coord_uncertainty,Comments/Alternate,coord_source,
30,SCOTIA RIVER,Skeena Winter,Winter,,54.15802839,-129.6365041,H,,FWA Streams_Line_BC,
55,MORICE RIVER,Skeena  Summer,Interior Summer,,54.19065459,-127.0835508,H,,FWA Streams_Line_BC,
32,GITNADOIX RIVER,Skeena Winter,Winter,,54.20545794,-129.1856789,H,,FWA Streams_Line_BC,
29,KHYEX RIVER,Skeena Winter,Winter,,54.23756725,-129.7939374,H,,FWA Streams_Line_BC,
214,KLOIYA RIVER,N. Coast Winter,Winter,,54.24152072,-130.1527862,H,,FWA Streams_Line_BC,
204,KITIMAT RIVER,N. Coast Winter,Winter,,54.24339722,-128.4427411,H,,FWA Streams_Line_BC,
5,SALMON RIVER,L. Fraser Winter,Winter,,54.25704155,-122.8175584,H,,FWA Streams_Line_BC,
266,SALMON RIVER,E. Vancouver Is. Winter,Winter,,54.25704155,-122.8175584,H,,FWA Streams_Line_BC,
216,LACHMACH RIVER,N. Coast Winter,Winter,,54.29945,"	-129.986700",M,,ArcGIS world geocoding service ,
31,KASIKS RIVER,Skeena Winter,Winter,,54.33093528,-129.4487473,H,,FWA Streams_Line_BC,
215,SHAWATLAN RIVER,N. Coast Winter,Winter,,54.34944,-130.22013,M,,ArcGIS world geocoding service ,
48,LAKELSE RIVER,Skeena  Summer,Interior Summer,,54.42326606,-128.6909735,H,,FWA Streams_Line_BC,
50,ZYMOETZ RIVER,Skeena  Summer,Interior Summer,,54.46440391,-128.196785,H,,FWA Streams_Line_BC,
34,SHAMES RIVER,Skeena Winter,Winter,,54.46741711,-128.9376279,H,,FWA Streams_Line_BC,
47,EXCHAMSIKS RIVER,Skeena Winter,Winter,,54.47736434,-129.5452927,H,,FWA Streams_Line_BC,
217,TOON RIVER,N. Coast Winter,Winter,,54.51468333,-129.9707146,H,,FWA Streams_Line_BC,
218,ENSHESHESE RIVER,N. Coast Winter,Winter,,54.51486974,-130.2100133,H,,FWA Streams_Line_BC,
33,EXSTEW RIVER,Skeena Winter,Winter,,54.51630973,-129.195863,H,,FWA Streams_Line_BC,
35,ZYMAGOTITZ RIVER,Skeena Winter,Winter,,54.54058943,-128.7999115,H,,FWA Streams_Line_BC,
36,KLEANZA CREEK,Skeena  Summer,Interior Summer,,54.56674915,-128.2710712,H,,FWA Streams_Line_BC,
219,KHUTZEYMATEEN RIVER,N. Coast Winter,Winter,,54.63212411,-129.8557015,H,,FWA Streams_Line_BC,
54,TELKWA RIVER,Skeena  Summer,Interior Summer,,54.65127826,-127.1914575,H,,FWA Streams_Line_BC,
37,FIDDLER CREEK,Skeena  Summer,Interior Summer,,54.83581732,-128.4617753,H,,FWA Streams_Line_BC,
49,KITSUMKALUM RIVER,Skeena  Summer,Interior Summer,,54.85343876,-129.0918451,H,,FWA Streams_Line_BC,
52,BULKLEY RIVER,Skeena  Summer,Interior Summer,,54.94184038,-127.3248239,H,,FWA Streams_Line_BC,
71,ISHKHEENICKH RIVER,Nass Winter,Winter,,54.994446,-129.636108,L,,Google search,
38,INSECT CREEK,Skeena  Summer,Interior Summer,,55.01621907,-128.4061986,H,,FWA Streams_Line_BC,
64,IKNOUK RIVER,Nass Winter,Winter,,55.01624,-129.82026,M,,ArcGIS world geocoding service ,
65,KSEDIN CREEK,Nass Winter,Winter,,55.049999,-129.416672,L,,Google search,
51,KITSEGUECLA RIVER,Skeena  Summer,Interior Summer,,55.08609819,-127.779344,H,,FWA Streams_Line_BC,
39,KITWANGA RIVER,Skeena  Summer,Interior Summer,,55.12023617,-128.0292238,H,,FWA Streams_Line_BC,
66,SHUMAL CREEK,Nass Winter,Winter,,55.216667,-129.149994,M,,Google search,
221,STAGOO CREEK,N. Coast Winter,Winter,,55.25048585,-129.6628362,H,,FWA Streams_Line_BC,
68,SEASKINNISH CREEK,Nass  Summer,Interior Summer,,55.28286,-129.02037,M,,ArcGIS world geocoding service ,
53,SUSKWA RIVER,Skeena  Summer,Interior Summer,,55.28562721,-127.2005816,H,,FWA Streams_Line_BC,
40,SHEGUNIA RIVER,Skeena  Summer,Interior Summer,,55.38174925,-127.4338548,H,,FWA Streams_Line_BC,
224,BONANZA CREEK,N. Coast Winter,Winter,,55.3901186,-129.8375205,H,,FWA Streams_Line_BC,
363,BONANZA CREEK,Queen Charlotte Is. Winter,Winter,,55.3901186,-129.8375205,H,,FWA Streams_Line_BC,
222,KITSAULT RIVER,N. Coast Winter,Winter,,55.48172711,-129.4820741,H,,FWA Streams_Line_BC,
72,CRANBERRY RIVER,Nass  Summer,Interior Summer,,55.55326089,-128.7055047,H,,FWA Streams_Line_BC,
56,KISPIOX RIVER,Skeena  Summer,Interior Summer,,55.55680749,-127.9224601,H,,FWA Streams_Line_BC,
69,TCHITIN RIVER,Nass  Summer,Interior Summer,,55.58505784,-129.1175877,H,,FWA Streams_Line_BC,
57,BABINE RIVER,Skeena  Summer,Interior Summer,,55.59964443,-127.1882383,H,,FWA Streams_Line_BC,
58,BABINE RIVER,Skeena  Summer,Interior Summer,,55.59964443,-127.1882383,H,,FWA Streams_Line_BC,
223,KSHWAN RIVER,N. Coast Winter,Winter,,55.63049492,-129.7994265,H,,FWA Streams_Line_BC,
186,PINE RIVER,Cent. Coast Winter,Winter,,55.70025744,-121.2642829,H,,FWA Streams_Line_BC,
73,WHITE RIVER,Nass  Summer,Interior Summer,,55.88239385,-129.2825425,H,,FWA Streams_Line_BC,
267,WHITE RIVER,E. Vancouver Is. Summer,Summer,,55.88239385,-129.2825425,H,,FWA Streams_Line_BC,
41,KULDO CREEK,Skeena  Summer,Interior Summer,,55.95587851,-128.1734037,H,,FWA Streams_Line_BC,
70,KWINAGEESE RIVER,Nass  Summer,Interior Summer,,56.01289329,-128.7580768,H,,FWA Streams_Line_BC,
74,MEZIADIN RIVER,Nass  Summer,Interior Summer,,56.03650458,-129.1851747,H,,FWA Streams_Line_BC,
60,BEAR RIVER,Skeena  Summer,Interior Summer,,56.04581019,-129.9218907,H,,FWA Streams_Line_BC,
133,BEAR RIVER,S. Coast  Winter,Winter,,56.04581019,-129.9218907,H,,FWA Streams_Line_BC,
225,BEAR RIVER,N. Coast Winter,Winter,,56.04581019,-129.9218907,H,,FWA Streams_Line_BC,
42,SICINTINE RIVER,Skeena  Summer,Interior Summer,,56.16328566,-127.8441278,H,,FWA Streams_Line_BC,
44,SQUINGULA RIVER,Skeena  Summer,Interior Summer,,56.27939793,-127.3166216,H,,FWA Streams_Line_BC,
59,SUSTUT RIVER,Skeena  Summer,Interior Summer,,56.32746983,-127.2023541,H,,FWA Streams_Line_BC,
61,Nass above Taylor exclud,Nass  Summer,Interior Summer,,56.33295,-128.7039,M,,ArcGIS world geocoding service ,
43,SLAMGEESH RIVER,Skeena  Summer,Interior Summer,,56.34485011,-127.8821918,H,,FWA Streams_Line_BC,
75,BELL-IRVING RIVER,Nass  Summer,Interior Summer,,56.49253106,-129.4398657,H,,FWA Streams_Line_BC,
76,TAYLOR RIVER,Nass  Summer,Interior Summer,,56.51691064,-128.9082101,H,,FWA Streams_Line_BC,
299,TAYLOR RIVER,W. Vancouver Is. Summer,Summer,,56.51691064,-128.9082101,H,,FWA Streams_Line_BC,
77,DAMDOCHAX CREEK,Nass  Summer,Interior Summer,,56.52624071,-128.2341717,H,,FWA Streams_Line_BC,
85,CRAIG RIVER,Stikine Winter,Winter,,56.59249073,-131.1778564,H,,FWA Streams_Line_BC,
78,KATETE RIVER,Stikine Winter,Winter,,56.64091303,-131.748098,H,,FWA Streams_Line_BC,
86,BRONSON CREEK,Stikine Winter,Winter,,56.68007285,-131.0800824,H,,FWA Streams_Line_BC,
84,INHINI RIVER,Stikine Winter,Winter,,56.69217715,-131.5400166,H,,FWA Streams_Line_BC,
87,VERRETT RIVER,Stikine Winter,Winter,,56.74978104,-131.0070689,H,,FWA Streams_Line_BC,
45,DUTI RIVER,Skeena  Summer,Interior Summer,,56.94415763,-127.888514,H,,FWA Streams_Line_BC,
46,KLUATANTAN RIVER,Skeena  Summer,Interior Summer,,57.01713547,-128.2156405,H,,FWA Streams_Line_BC,
79,PORCUPINE RIVER,Stikine Winter,Winter,,57.02779754,-131.6475261,H,,FWA Streams_Line_BC,
261,BLACK CREEK,E. Vancouver Is. Winter,Winter,,57.2297596,-121.268278,H,,FWA Streams_Line_BC,
80,CHRISTINA CREEK,Stikine Winter,Winter,,57.25356656,-132.0085731,H,,FWA Streams_Line_BC,
81,SCUD RIVER,Stikine Winter,Winter,,57.3142698,-131.7158105,H,,FWA Streams_Line_BC,
